Name,Description,Image,Daily,Weekly,Monthly,Full Desc
Lectro 411 Wireless Mic System,Lectrosonics UCR411A / UM400A UHF bodypack system w/ Sanken Lav Mic,images/products/lec211tramsm.jpg,$95.00 per day,$285.00 per week,$855.00 per month,"

<ul><li>Digital Hybrid Wireless Technology*</li>&#13;
    <li>Battery or External DC power</li>&#13;
    <li>SmartSquelch circuitry</li>&#13;
    <li>SmartDiversity circuitry</li>&#13;
    <li>256 selectable UHF frequencies</li>&#13;
    <li>Constant group delay SAW filter</li>&#13;
    <li>Digital pulse counting detector</li>&#13;
    <li>Dual-band audio compandor</li>&#13;
    <li>Pilot tone controlled squelch</li>&#13;
    <li>Graphics type backlit LCD display</li>&#13;
    <li>-50 dBu to +9 dBu output levels</li>&#13;
    <li>Balanced XLR audio output</li>&#13;
    <li>Aluminum construction</li>&#13;
</ul>"
Lectro SR Stereo Wireless Link,SR Dual-Channel Slot Mount ENG Receiver..2 - UM400a..Digital Hybrid Wireless¨ UHF Belt Pack Transmitters..,images/products/Lectro-SR.jpg,$150.00 per day,$450.00 per week,"$1,350.00 per month","

Lectrosonics is pleased to introduce a new two-channel slot-mount Digital Hybrid Wirelss diversity receiver. The SR/5P receiver offers two independent channels and fits into the standard video camera slots found on professional cameras. The two audio channels can be fed separate inputs or can be mixed internally to feed a single input. 
<br /><br />&#13;
The two Digital Hybrid Wireless receivers inside the SR/5P offer 256 frequencies each in one of nine available blocks, and operate with any of the Lectrosonics 400 Series transmitters without a compandor in the audio path. In addition, compatibility modes also facilitate operation with Lectrosonics 100 Series, 200 Series, and IFB analog systems, along with analog transmitters from two other manufacturers. Transmitter battery strength is monitored in the SR/5P when using compatibility modes for 200 and 400 Series transmitters. &#13;
<br /><br />&#13;
While mounted on a camera, the SR/5P is splash resistantthanks to sealed membrane switches and LCD, along with a special gasket covering the slot opening. The SR/5P can be used with slot-equipped Sony, Ikegami, or Panasonic professional cameras via optional connector kits. &#13;
<br /><br />&#13;
NOTE: Not all cameras have two audio channels enabled in the slot. &#13;
<br /><br />&#13;
The SR/5P variant is equipped with an external audio output for cameras that only have one audio input in the slot. Both audio channels can be connected with an external cable    

	"
Lectrosonic Plug on Transmitter,Lectrosonic UH400 Plug on Transmitter..Lectrosonics UCR411A Receiver,images/products/Lectro.jpg,$85.00 per day,$255.00 per week,$765.00 per month,"

<p>Lectrosonics 400 Series - Portable Wireless Microphone System (No Mic)</p>&#13;
<ul class=""horizMenuBullet""><li>&#13;
    <p>Includes UCR411A Receiver</p>&#13;
    </li>&#13;
    <li>&#13;
    <p>Includes UH400A Plug-In Transmitter</p>&#13;
    </li>&#13;
    <li>&#13;
    <p>Digital Hybrid Technology</p>&#13;
    </li>&#13;
</ul>"
Electro Voice RE50 Stick Mic,Electro Voice RE50/B - Omni-Directional Handheld Dynamic Shock Mounted ENG Microphone (Black),images/products/Electro-Voice-RE50-B.jpg,$15.00 per day,$45.00 per week,$135.00 per month,"

<font face=""Trebuchet MS""><font size=""2""><font face=""Arial"">An industry-standard microphone d</font>esigned specifically as an ENG/EFP interview mic. Every day, for local, national and international news reports, the RE50B gathers the audio for news interviews.<br /><br />&#13;
The RE50B's custom <font face=""Arial"">EV DynaDamp™ </font>""mic-within-a-mic"" shock mount provides extremely low handling noise for superior sound. A large, built-in Acoustifoam filter keeps wind and P-pop noise to an absolute minimum, indoors or out. Frequency response is 80Hz-13kHz. <br /></font></font><font face=""Trebuchet MS""><br /><font size=""2"">Key Features: </font></font><br /><ul><li><font face=""Trebuchet MS"">Shock-mounted handheld interview microphone. </font></li>&#13;
    <li><font face=""Trebuchet MS"">Industry's favorite news interview microphone. </font></li>&#13;
    <li><font face=""Trebuchet MS"">Features EV DynaDamp<font face=""Arial"" size=""2"">™</font> shock mount. </font></li>&#13;
    <li><font face=""Trebuchet MS"">Extremely low handling noise for superior sound. </font></li>&#13;
    <li><font face=""Trebuchet MS"">""Mic-within-a-mic"" concept reduces wind and P-popping noise.</font></li>&#13;
</ul>"
Lavaliere Microphone,Countryman EMW Omnidirectional Lavaliere Microphone with Flat Frequency Response and 3-pin XLR Connector,images/products/countryman.jpg,$10.00 per day,$30.00 per week,$90.00 per month,"

<p><strong>Features:<br /><br /></strong></p>&#13;
<ul><li>Exceptionally Small Size</li>&#13;
    <li>Moisture Resistant</li>&#13;
    <li>Very Low Rubbing Noise<br />&#13;
     </li>&#13;
</ul><strong>Specifications:</strong>&#13;
<ul><li>Frequency Response :20Hz - 20kHz</li>&#13;
    <li>Sensitivity (open circuit) :-40 dB re. 1 Volt / Pa</li>&#13;
    <li>Output Impedance :600 ohms, balanced</li>&#13;
    <li>Power Requirements :6V to 50V Phantom @ 4mA</li>&#13;
    <li>Overload Level :130dB SPL @ 1% THD on 48V Phantom</li>&#13;
</ul>"
Rode VideoMic,,images/products/rodemic.jpg,$10.00 per day,$30.00 per week,$90.00 per month,"

<h1 class=""irregualrHeader"">Rode 									 								 								VideoMic - Camera Mounted Shotgun Microphone</h1>&#13;
<ul class=""horizMenuBullet""><li>Camera Mountable</li>&#13;
    <li>Integrated Shockmount</li>&#13;
    <li>Coiled Mini-Plug Output Cable Included</li>&#13;
    <li>Can Be Mounted on a Boompole</li>&#13;
</ul><br />"
Sanken CS1 Shotgun,Sanken CS1 - Short Condenser Shotgun Microphone,images/products/Sanken-CS1.jpg,$25.00 per day,$75.00 per week,$225.00 per month,"

At only 181.5mm, the Sanken CS-1 short condenser shotgun microphone is easy to hide from camera view because of it's short length. But the CS-1 has very sharp directivity and excellent sound for true professional engineering applications despite it's size.
<p>The CS-1 can be used for not only for boom pole operation, but also with various kinds of camera mount for one-man ENG operation.<br /><br /><b>Key Features:</b><br />&#13;
 </p>&#13;
<ul><li>Very sharp directivity in only 181.5mm length body</li>&#13;
    <li>Flat frequency response to beyond 20kHz (on axis)</li>&#13;
    <li>Good sensitivity -30dB/Pa</li>&#13;
    <li>High SPL, more than 137dB SPL(1% THD)</li>&#13;
    <li>Narrow angle directivity over the entire frequency range,</li>&#13;
    <li>23dB/20kHz, 25dB/10kHz, 26dB/1kHz, 20dB</li>&#13;
    <li>Light weight-just 100g, makes it easy to operate on a boom pole</li>&#13;
    <li>Sanken original square type DC biased condenser capsule</li>&#13;
</ul>"
Sennheiser MKH 60 Shotgun,Sennheiser MKH 60 Super-Cardioid Shotgun..Rycote Windscreens,images/products/Sennheiser-MKH-60.jpg,$25.00 per day,$75.00 per week,$225.00 per month,"

This lightweight short gun microphone is versatile and easy to handle. Its superb lateral sound muting makes it an excellent choice for film and reporting applications, and a high degree of directivity ensures high sound quality for distance applications.<br /><br /><strong>Features: </strong>&#13;
<ul><li>ultra-low noise</li>&#13;
    <li>high linearity</li>&#13;
    <li>exceptionally low inherent self-noise</li>&#13;
    <li>switchable treble emphasis</li>&#13;
    <li>switchable roll-off filter</li>&#13;
    <li>infrasonic cut-off filter (-18 dB/oct.)</li>&#13;
    <li>lightweight.</li>&#13;
    <li>MKH60 length 11 inches.</li>&#13;
</ul>"
Audio DA,(2) 1x6 XLR Audio DA,images/products/KRAMER-VM1110xl.jpg,$50.00 per day,$150.00 per week,$450.00 per month,"


	"
BetaSnake,2 Channel quick release audio BetaSnake w/ headphone return.,images/products/Betasnake.jpg,$10.00 per day,$30.00 per week,$90.00 per month,"


	"
ComPack Phone Audio Interface,ComPack Universal Telephone Audio Interface..,images/products/compack_01.gif,$35.00 per day,$105.00 per week,$315.00 per month,"


<ul><li>Getner Style Phone Patch</li>&#13;
        <li>XLR input (mic/line switch)</li>&#13;
        <li>3.5 mm line input </li>&#13;
        <li>¼"" headphone jack</li>&#13;
        <li>Works with conventional phone lines</li>&#13;
        <li>Works with analog and digital PBX or ISDN phones</li>&#13;
        <li>XLR phone mix output switches to intercom link</li>&#13;
        <li>Transmit clip LED</li>&#13;
        <li>Battery test LED</li>&#13;
        <li>Keypad lockout switch </li>&#13;
        <li>Runs 20 hours on one 9 volt battery </li>&#13;
      </ul>"
"Denecke TS-C Compact Time Code Slate - Color Clapper, EL Backlit",,images/products/TCslate.jpg,$40.00 per day,$120.00 per week,$360.00 per month,"

<p>The <b>Denecke TS-C</b> is a compact full featured smart slate,  capable of reading, generating and displaying SMPTE/EBU time code. Its  new compact size makes the TS-C ideal for documentary work, insert  shots, or anywhere a big slate is too cumbersome. The TS-C jams to all  standard frame rates, including 23.976 for HD.</p>&#13;
<dl><dt> Flash Microprocessor  </dt><dd> 		    		        A 16 Bit Flash Microprocessor produces greater accuracy and allows for future firmware upgrades. 		         		        </dd></dl><!-- end else-if --><dl><dt> Clapper  </dt><dd> 		    		        This unit features a colored clapper. 		         		        </dd></dl><!-- end else-if --><dl><dt> Voltage Readout  </dt><dd> 		    		        A battery voltage readout and low battery warning keep the user informed. 		         		        </dd></dl><!-- end else-if --><dl><dt> Access Door  </dt><dd> 		    		        A small sliding door allows quick access to controls and battery pack. 		         		        </dd></dl><!-- end else-if --><dl><dt> Error Warning  </dt><dd> 		    		        A Sync Error warning lets the user know different frame rates are being input. 		         		        </dd></dl><!-- end else-if --><dl><dt> EL Backlit  </dt><dd> 		    		        The EL Backlit Display is particularly useful during night shoots and on dimly lit stages. 		         		        </dd></dl><!-- end else-if --><dl><dt> Automatic  </dt><dd> 		    		        The incoming frame rate is read and the reader automatically sets to that frame rate. 		         		        </dd></dl><!-- end else-if --><dl><dt> TCXO  </dt><dd> 		    		        The high stability Temperature Compensated Crystal Oscillator ensures low drift and is standard on the TS-3. 		         		        </dd></dl><br />"
PA Speaker System,Samson EXL250 Expedition Express Portable PA System..Complete portable stereo PA System ¥ 250 watts Class D stereo power (125 watts per side) ¥ Integr,images/products/Samson-EXL250.jpg,$100.00 per day,$300.00 per week,$900.00 per month,"

<p> </p>&#13;
<div id=""contentBox"">&#13;
<div class=""descriptiontext"">&#13;
<p>The 250 Watt Samson EXL250 system is comprised of a pair of rugged, acoustically balanced two-way loudspeakers with a 4 channel mixer with built-in 24 bit DSP and an iPod docking station. To complete the system Samson has also included a wired handheld microphone and a speaker cable.</p>&#13;
<p>You'll appreciate the convenience of the integrated iPod docking station. The iPod docking station gives you the ability to seamlessly program music from your iPod, creating an incredibly versatile and unique solution.</p>&#13;
<p>Each loudspeaker is housed in a lightweight, yet heavy duty, molded resin cabinet with extensive internal bracing to give it rigidity, low resonance and the maximum possible volume. The high frequency section employs an elliptical waveguide that offers extra wide dispersion for maximum coverage.</p>&#13;
<p>The EXL250's integrated Class D amplifier is perfectly matched to the drivers for high efficiency and low current draw. It is also an extremely lightweight amplifier, which enhances the portability of the unit. The on-board 24-bit DSP adds dramatic pro-quality effects like reverb and echo, and its ten preset effects make getting great sound fast and easy.</p>&#13;
<p>Set up takes less than 5 minutes! When set up for performance, the two cabinets are connected by a single cable. When they are packed for the road, the lightweight companion speaker cabinet locks into the top of the amplified speaker cabinet with a unique auto locate mechanism.</p>&#13;
</div>&#13;
</div>    

	"
Samson Audio Monitor,30w powered speakers,images/products/samson_speakers.jpg,$25.00 per day,$75.00 per week,$225.00 per month,"

30w powered speakers<br />"
